species_id	species_name	marker_length	marker_count	percent_markers_detected	total_mapped_reads	avg_read_depth	species_abund
OTU-10096	Lactobacillus crispatus	267507	294	55.78231292517007	1344	0.48957223549290296	26.808410364903327
OTU-04722	Bacteroides stercoris	6105	7	42.857142857142854	11	0.18018018018018017	9.86645863409571
OTU-10434	Streptococcus mitis	6675	8	25.0	11	0.1647940074906367	9.023929582195402
OTU-10107	Lactobacillus iners	449724	299	39.130434782608695	701	0.1534318826658128	8.401752745278863
OTU-20779	Haemophilus influenzae	87726	104	24.03846153846154	118	0.1345097234571279	7.365597154172402
OTU-02547	Corynebacterium sp.	669408	300	55.333333333333336	981	0.13083799416798125	7.164537497606759
OTU-14187	Veillonella parvula	3204	4	25.0	4	0.12484394506866417	6.836310289541972
OTU-02557	Corynebacterium sp.	423588	300	30.666666666666668	527	0.11085535945305344	6.0703114921830625
OTU-02443	Rothia dentocariosa	515946	296	35.472972972972975	604	0.10717788295674353	5.868937125188773
OTU-12099	Lachnospiraceae sp.	4809	6	16.666666666666668	3	0.06238303181534623	3.4160227959595257
OTU-05035	Prevotella histicola	613761	300	25.333333333333332	377	0.0592901797279397	3.246661786600685
OTU-10006	Dolosigranulum pigrum	549030	300	18.666666666666668	312	0.05481485529023915	3.0015981875157327
OTU-05050	Prevotella pallens	409326	300	16.0	222	0.05349770109887962	2.929472344757784
